Artikel	Sg.Pl	Masc	Nom.Akk.Dat	Artikel	59	3/10/2005 11:44:22	3/10/2005 13:43:27		100
Artikels	Sg	Masc.Neut	Gen	Artikel	2	3/10/2005 12:17:47	3/10/2005 12:18:4		101
Arzt	Sg	Masc.Neut	Dat	Arzt	2	3/10/2005 11:59:0	3/10/2005 11:59:16		102
Assoziation	Sg	Masc.Fem.Neut	Nom	Assoziation	2	3/10/2005 13:39:30	3/10/2005 13:39:47		103
Atlantik	Sg	Masc.Neut	Dat	Atlantik	2	3/10/2005 11:56:9	3/10/2005 11:56:22		104
Atomtechnologie	Sg	Masc.Fem.Neut	Dat	Atomtechnologie	1	3/10/2005 11:48:7	3/10/2005 11:48:7		105
Attribut	Sg	Masc.Neut	Nom.Akk	Attribut	2	3/10/2005 11:46:3	3/10/2005 12:59:53		106
Aufforderung	Sg	Masc.Fem	Nom	Aufforderung	1	3/10/2005 13:29:23	3/10/2005 13:29:23		107
Auffrischung	Sg	Fem	Akk	Auffrischung	1	3/10/2005 11:50:6	3/10/2005 11:50:6		108
Aufgabe	Sg	Fem	Dat	Aufgabe	2	3/10/2005 13:39:30	3/10/2005 13:39:47		109
Auflistung	Sg	Fem	Akk	Auflistung	1	3/10/2005 11:49:10	3/10/2005 11:49:10		110
Aufnahme	Sg	Fem	Dat	Aufnahme	1	3/10/2005 13:14:22	3/10/2005 13:14:22		111
Aufnahmen	Sg	Masc.Fem.Neut	Dat	Aufnahme	1	3/10/2005 12:54:9	3/10/2005 12:54:9		112
Aufruf	Sg	Masc.Neut	Dat	Aufruf	2	3/10/2005 12:27:23	3/10/2005 12:27:30		113
Auge	Sg	Neut	Nom.Akk.Dat	Auge	5	3/10/2005 11:45:5	3/10/2005 12:2:23		114
Augen	Sg.Pl	Masc.Fem.Neut	Nom.Akk.Dat	Auge	4	3/10/2005 11:48:7	3/10/2005 12:51:0		115
Ausdruck	Sg	Masc.Fem	Nom.Akk	Ausdruck	18	3/10/2005 11:44:22	3/10/2005 13:33:40		116
Ausdrucks	Sg	Masc.Neut	Gen	Ausdruck	2	3/10/2005 13:33:23	3/10/2005 13:33:40		117
Ausdrücken	Pl	Masc.Fem.Neut	Dat	Ausdruck	2	3/10/2005 12:0:5	3/10/2005 12:0:22		118
Ausgangssignal	Sg	Masc.Neut	Dat	Ausgangssignal	1	3/10/2005 13:6:3	3/10/2005 13:6:3		119
Ausgehen	Sg	Masc.Neut	Dat	Ausgehen.Ausgehe.Ausgeh	2	3/10/2005 12:0:6	3/10/2005 12:0:22		120
Ausgleichschance	Sg	Masc.Fem.Neut	Nom	Ausgleichschance	2	3/10/2005 11:52:39	3/10/2005 11:52:48		121
Auskunft	Sg	Masc.Fem.Neut	Akk	Auskunft	2	3/10/2005 12:20:14	3/10/2005 12:20:29		122
Ausland	Sg	Neut	Akk.Dat	Ausland	3	3/10/2005 12:0:6	3/10/2005 12:38:24		123
Ausnahme	Sg	Fem	Akk	Ausnahme	4	3/10/2005 12:10:32	3/10/2005 12:10:49		124
Ausruf	Sg	Masc.Neut	Dat	Ausruf	2	3/10/2005 12:2:3	3/10/2005 12:2:22		125
Ausrufs	Sg	Masc.Neut	Gen	Ausruf	2	3/10/2005 12:46:10	3/10/2005 12:46:11		126
Aussage	Sg.Pl	Fem	Nom.Dat	Aussage.Aussag	6	3/10/2005 12:4:22	3/10/2005 13:31:11		127
Aussprache	Sg	Masc.Fem.Neut	Nom.Akk	Aussprache	4	3/10/2005 12:28:55	3/10/2005 12:59:53		128
Ausstellung	Sg	Fem	Nom	Ausstellung	4	3/10/2005 12:10:32	3/10/2005 12:10:48		129
Auswahl	Sg	Fem	Akk	Auswahl	16	3/10/2005 12:0:5	3/10/2005 13:42:11		130
Auswärtigen	Sg	Masc.Neut	Dat	Auswärtigen.Auswärtige.Auswärtig	2	3/10/2005 13:40:19	3/10/2005 13:40:35		131
Auszeichnung	Sg	Fem	Nom	Auszeichnung	2	3/10/2005 13:13:31	3/10/2005 13:13:33		132
Ausüben	Sg	Neut	Akk	Ausüben.Ausübe.Ausüb	2	3/10/2005 12:20:14	3/10/2005 12:20:29		133
Authentizität	Sg	Fem	Dat	Authentizität	1	3/10/2005 11:50:7	3/10/2005 11:50:7		134
Auto	Sg	Neut	Nom.Akk	Auto	4	3/10/2005 12:29:44	3/10/2005 13:32:48		135
Autobahn	Sg	Fem	Dat	Autobahn	1	3/10/2005 12:58:59	3/10/2005 12:58:59		136
Autofahrer	Sg	Masc.Neut	Nom	Autofahrer.Autofahre.Autofahr	2	3/10/2005 11:56:9	3/10/2005 11:56:23		137
Automatik	Sg	Masc.Fem.Neut	Nom	Automatik	1	3/10/2005 13:14:21	3/10/2005 13:14:21		138
Autor	Sg	Masc.Fem.Neut	Akk	Autor	237	3/10/2005 11:44:23	3/10/2005 13:43:27		139
Autorität	Sg	Fem	Nom	Autorität	2	3/10/2005 12:14:40	3/10/2005 12:14:55		140
Autos	Sg	Masc.Fem.Neut	Nom	Auto	2	3/10/2005 13:40:58	3/10/2005 13:41:14		141
Avernerschild	Sg	Masc.Fem.Neut	Akk	Avernerschild	2	3/10/2005 13:18:21	3/10/2005 13:18:21		142
Background	Sg	Masc.Fem.Neut	Dat	Background	2	3/10/2005 12:0:5	3/10/2005 12:0:22		143
Badewannen	Sg	Masc.Neut	Dat	Badewannen.Badewanne.Badewann	1	3/10/2005 11:48:6	3/10/2005 11:48:6		144
Badischen	Sg	Masc.Neut	Dat	Badischen.Badische.Badisch	4	3/10/2005 12:14:41	3/10/2005 12:43:11		145
Bahre	Sg	Fem	Dat	Bahre	6	3/10/2005 12:25:41	3/10/2005 12:25:52		146
Bandit	Sg	Masc.Fem	Nom	Bandit	6	3/10/2005 12:47:47	3/10/2005 12:47:47		147
Banditen	Sg.Pl	Masc.Fem.Neut	Akk.Dat	Bandit	3	3/10/2005 12:47:47	3/10/2005 12:47:47		148
Baritons	Sg	Masc.Neut	Gen	Bariton	2	3/10/2005 13:24:44	3/10/2005 13:24:45		149
Baron	Sg	Masc.Neut	Akk	Baron	1	3/10/2005 11:44:22	3/10/2005 11:44:22		150
Basteln	Sg	Masc.Neut	Dat	Basteln	2	3/10/2005 11:54:27	3/10/2005 11:54:38		151
Bauer	Sg	Masc.Fem	Nom	Bauer.Baue.Bau	6	3/10/2005 12:1:1	3/10/2005 12:3:28		152
Bayern	Pl	Masc.Fem.Neut	Nom	Bayern	2	3/10/2005 12:28:55	3/10/2005 12:29:2		153
Beantwortung	Sg	Fem	Nom	Beantwortung	8	3/10/2005 12:0:7	3/10/2005 13:39:47		154
Bedeutung	Sg	Fem	Nom.Akk.Dat	Bedeutung	27	3/10/2005 11:48:6	3/10/2005 13:39:47		155
Bedeutungsunterschied	Sg.Pl	Masc.Fem	Nom.Dat	Bedeutungsunterschied	5	3/10/2005 11:50:7	3/10/2005 12:12:49		156
Bedingungen	Pl	Masc.Fem.Neut	Dat	Bedingunge.Bedingung	1	3/10/2005 12:53:22	3/10/2005 12:53:22		157
Befugten	Pl	Masc.Fem.Neut	Nom	Befugte.Befugt	2	3/10/2005 11:53:34	3/10/2005 11:53:43		158
Begegnung	Sg	Fem	Dat	Begegnung	1	3/10/2005 11:48:8	3/10/2005 11:48:8		159
Begriff	Sg.Pl	Masc.Fem	Nom.Akk.Dat	Begriff	33	3/10/2005 11:48:7	3/10/2005 13:39:47		160
Begriffe	Pl	Masc.Fem.Neut	Nom	Begriff	2	3/10/2005 12:50:6	3/10/2005 12:56:33		161
Begriffen	Sg.Pl	Masc.Fem.Neut	Akk.Dat	Begriff	8	3/10/2005 11:45:5	3/10/2005 13:42:51		162
Begründung	Sg	Fem	Nom	Begründung	1	3/10/2005 12:53:22	3/10/2005 12:53:22		163
Behauptung	Sg	Fem	Dat	Behauptung	2	3/10/2005 13:41:55	3/10/2005 13:42:11		164
Behörde	Sg	Fem	Akk	Behörde	2	3/10/2005 12:0:6	3/10/2005 12:0:22		165
Beifall	Sg	Masc.Fem	Nom	Beifall	4	3/10/2005 13:24:44	3/10/2005 13:24:45		166
Beifalls	Sg	Masc.Neut	Gen	Beifall	2	3/10/2005 13:24:44	3/10/2005 13:24:45		167
